"Date","Main Pollutant","Site Name","Site ID","Ozone AQI Value"
"01/01/2014","","Bethel Island","06-013-1002","25"
"01/02/2014","","Livermore - Rincon","06-001-0007","31"
"01/03/2014","","Bethel Island","06-013-1002","23"
"01/04/2014","","Livermore - Rincon","06-001-0007","23"
"01/05/2014","","San Pablo - Rumrill","06-013-1004","31"
"01/06/2014","","San Pablo - Rumrill","06-013-1004","23"
"01/07/2014","","San Rafael","06-041-0001","21"
"01/08/2014","","San Rafael","06-041-0001","23"
"01/09/2014","","San Rafael","06-041-0001","29"
"01/10/2014","","Bethel Island","06-013-1002","25"
"01/11/2014","","Bethel Island","06-013-1002","25"
"01/12/2014","","Bethel Island","06-013-1002","28"
"01/13/2014","","Concord","06-013-0002","28"
"01/14/2014","","Livermore - Rincon","06-001-0007","30"
"01/15/2014","","Oakland East","06-001-0009","31"
"01/16/2014","","Livermore - Rincon","06-001-0007","30"
"01/17/2014","","Livermore - Rincon","06-001-0007","34"
"01/18/2014","","Livermore - Rincon","06-001-0007","28"
"01/19/2014","","Livermore - Rincon","06-001-0007","36"
"01/20/2014","","Concord","06-013-0002","27"
"01/21/2014","","Bethel Island","06-013-1002","27"
"01/22/2014","","Bethel Island","06-013-1002","23"
"01/23/2014","","Concord","06-013-0002","40"
"01/24/2014","","Concord","06-013-0002","25"
"01/25/2014","","Bethel Island","06-013-1002","30"
"01/26/2014","","Livermore - Rincon","06-001-0007","26"
"01/27/2014","","San Pablo - Rumrill","06-013-1004","23"
"01/28/2014","","Bethel Island","06-013-1002","23"
"01/29/2014","","San Rafael","06-041-0001","22"
"01/30/2014","","Redwood City","06-081-1001","31"
"01/31/2014","","Bethel Island","06-013-1002","28"
"02/01/2014","","Bethel Island","06-013-1002","29"
"02/02/2014","","Concord","06-013-0002","28"
"02/03/2014","","Concord","06-013-0002","28"
"02/04/2014","","Bethel Island","06-013-1002","25"
"02/05/2014","","Oakland East","06-001-0009","28"
"02/06/2014","","Bethel Island","06-013-1002","25"
"02/07/2014","","San Rafael","06-041-0001","32"
"02/08/2014","","Concord","06-013-0002","28"
"02/09/2014","","San Rafael","06-041-0001","28"
"02/10/2014","","Concord","06-013-0002","22"
"02/11/2014","","Bethel Island","06-013-1002","21"
"02/12/2014","","Livermore - Rincon","06-001-0007","19"
"02/13/2014","","San Francisco - Arkansas St.","06-075-0005","18"
"02/14/2014","","Bethel Island","06-013-1002","17"
"02/15/2014","","San Pablo - Rumrill","06-013-1004","20"
"02/16/2014","","Concord","06-013-0002","33"
