Name,City,Longitude,Latitude,ID,Avatar
MODseeed,Bangalore,77.6027288,12.9756103,ci53tm6va0001032pzez19tgz,
openbangalore,Bangalore,77.61856,13.00438,ci4v3czb7000502s7lnln7ztr,http://localdata-public.s3-website-us-east-1.amazonaws.com/datacanvas/avatars/openbangalore.png
WRI,Bangalore,77.5885708,12.9436922,ci4yfgz37000e03zzg1a6o6vy,
Nextdrop,Bangalore,77.5964831,12.9619378,ci59onqz2000103z5f90u4k78,
DataBrigade,Bangalore,77.5789318,12.8864971,ci4yae86r000903zzsna9zh30,
Laddoo,Bangalore,77.589195,12.910474,ci4xvuiqf000503zz1bah2he8,
Palantir,Bangalore,77.5905334,12.9127007,ci4xs6uhw000403zz9za2guib,
Claptrap,Bangalore,77.6383672,12.956511,ci541fl410002032pbifg5o7a,
sycsmlp1,Bangalore,77.570326,13.013893,ci4zftqww0002032zeskt2yuc,http://localdata-public.s3-website-us-east-1.amazonaws.com/datacanvas/avatars/sycsmlp1.png
Geekstorm,Bangalore,77.644259,12.96145,ci4x8lumr000l02tco6291y1u,
soldering defect,Boston,-71.096538,42.36502,ci4x0rtb9000h02tcfa5qov33,
Pineapple,Boston,-71.096945,42.3895,ci4ooqbyw0001021o7p4qiedw,
Sproutuino,Boston,-71.097605,42.382972,ci4xird28000003zzz1soh9fj,
monalisa,Boston,-71.106167,42.372802,ci4ue1845000102w7ni64j7pl,
SeeedSensor,Boston,-71.119359,42.390486,ci4w1npi3000p02s7a43zws7q,
badgersense,Boston,-71.110054,42.376184,ci4vzm23c000o02s76ezwdgxe,
Sparkling,Boston,-71.109645,42.372527,ci4x1uh3q000j02tcnehaazvw,http://localdata-public.s3-website-us-east-1.amazonaws.com/datacanvas/avatars/swissnex.png
Euclid,Boston,-71.11682,42.311615,ci5a6lluy000303z5d02xla24,
firehazard,Boston,-71.127625,42.303363,ci530o426000003v9a6uxvc2l,
Home1,Boston,-71.1196326,42.3900055,ci4rb6392000102wddchkqctq,
theperch,Boston,-71.089624,42.3443141,ci4qaiat7000002wdidwagmmb,
Richard,Boston,-71.105266,42.33115,ci4vv79v9000k02s7n4avp69i,
Gabe Sensor,Boston,-71.107039,42.370755,ci4w3emre000002tcnpko08o3,
Geneva16,Geneva,6.054929,46.234563,ci4lr75ve000c02ypnfy0qt8n,http://localdata-public.s3-website-us-east-1.amazonaws.com/datacanvas/avatars/cern.png
Geneva6,Geneva,6.1401,46.174962,ci4lr75ok000302yp9dowz3rm,
Geneva7,Geneva,6.116039,46.189268,ci4lr75sm000902ypns4q30xy,
Laconn'air,Geneva,6.035054,46.1558904,ci4lr75sf000602ypyfkxnua3,
OpiOneKenopi,Geneva,6.1668213,46.1927629,ci4lr75sl000802ypo4qrcjda,
Orion,Geneva,6.145645,46.19095,ci4lr75ob000102yphtjj75f5,
metabolo,Geneva,6.1619939,46.1972488,ci4lr75o6000002yp6eolj0rm,
makegeneve,Geneva,6.1414264,46.2154212,ci4lr75oi000202ypmtgrudhs,
Geneva11,Geneva,6.13995,46.220411,ci4lr75vd000b02ypdlm6qbly,http://localdata-public.s3-website-us-east-1.amazonaws.com/datacanvas/avatars/Geneva11.png
